id_hogar,id_persona,presencia_carencia_salud_persona,presencia_rezago_educativo_persona,presencia_carencia_seguridad_social_persona
2767335,27673354,yes,no,yes
2767335,27673355,yes,no,yes
2767336,27673361,no,yes,yes
2767336,27673362,yes,no,yes
2767336,27673363,no,no,yes
2767336,27673364,no,no,yes
2767336,27673365,no,no,yes
2767357,27673571,no,yes,no
2767357,27673572,no,no,no
2767357,27673573,,yes,yes
2767357,27673574,no,no,no
2767357,27673575,no,,no
2767357,27673576,no,no,no
2767357,27673577,no,no,no
2767358,27673581,no,no,no
2767358,27673582,no,no,no
2767358,27673583,,no,yes
2767358,27673584,no,no,yes
2767358,27673585,no,yes,yes
2767358,27673586,no,yes,yes
2767358,27673587,no,no,yes
2767358,27673588,,no,yes
2767360,27673601,no,yes,no
2767360,27673602,no,no,no
2767360,27673603,,no,yes
2767360,27673604,,no,yes
2767360,27673605,no,no,no
2767360,27673606,no,no,yes
2767360,27673607,no,no,yes
2767360,27673608,no,no,yes
2767360,27673609,no,no,yes
2767361,27673611,,no,yes
2767361,27673612,,no,yes
2767361,27673613,,yes,yes
2767383,27673831,no,no,yes
2767383,27673832,,no,yes
2767383,27673833,,yes,yes
2767383,27673834,,yes,yes
2767383,27673835,no,yes,no
2767383,27673836,no,no,yes
2767388,27673881,yes,no,yes
2767388,27673882,yes,,yes
2767388,27673883,,,yes
2767388,27673884,yes,no,yes
2767388,27673885,,yes,yes
2767388,27673886,yes,yes,no
2767393,27673931,no,no,yes
2767393,27673932,no,no,no
2767394,27673941,no,no,no
2767394,27673942,no,no,yes
2767394,27673943,no,no,yes
2767395,27673951,no,no,no
2767395,27673952,no,no,yes
2767395,27673953,yes,yes,yes
2767395,27673954,no,no,yes
2767396,27673961,no,no,no
2767396,27673962,no,no,yes
2767396,27673963,yes,yes,yes
2767396,27673964,no,yes,no
2767396,27673965,no,no,no
2767396,27673966,no,no,no
2767396,27673967,yes,yes,yes
2767396,27673968,yes,no,yes
2767401,27674011,no,no,no
2767401,27674012,no,no,no
2767401,27674013,no,no,no
2767401,27674014,yes,yes,yes
2767401,27674015,yes,no,yes
2767401,27674016,,yes,yes
2767401,27674017,yes,no,yes
2767401,27674018,yes,no,yes
2767401,27674019,yes,no,yes
2767401,276740110,no,no,no
2767403,27674031,no,no,no
2767403,27674032,no,yes,no
2767403,27674033,no,yes,no
2767403,27674034,no,no,yes
2767403,27674035,no,no,yes
2767403,27674036,no,no,yes
2767413,27674131,no,no,no
2767413,27674132,yes,no,no
2767413,27674133,yes,no,yes
2767417,27674171,no,no,no
2767417,27674172,no,no,no
2767418,27674181,no,no,no
2767418,27674182,no,yes,no
2767418,27674183,no,no,yes
2767418,27674184,no,no,no
2767418,27674185,no,no,no
2767419,27674191,no,no,yes
2767419,27674192,no,no,no
2767419,27674193,no,no,no
2767419,27674194,no,no,no
2767419,27674195,no,no,no
2767424,27674241,no,no,yes
2767424,27674242,no,no,yes
2767424,27674243,no,no,yes
2767426,27674261,yes,no,yes
2767426,27674262,yes,no,yes
2767427,27674271,no,no,yes
2767427,27674272,no,no,no
2767427,27674273,no,no,no
2767427,27674274,no,no,yes
2767428,27674281,no,yes,no
2767428,27674282,yes,no,yes
2767428,27674283,yes,no,yes
2767428,27674284,yes,no,yes
2767428,27674285,no,no,no
2767428,27674286,yes,no,yes
2767428,27674287,no,no,no
2767428,27674288,yes,no,yes
2767428,27674289,yes,yes,yes
2767428,276742810,yes,no,yes
2767428,276742811,yes,no,yes
2767431,27674311,yes,no,yes
2767431,27674312,yes,no,yes
2767431,27674313,no,no,yes
2767431,27674314,no,no,yes
2767431,27674315,yes,no,yes
2767431,27674316,no,no,yes
2767431,27674317,no,no,no
2767431,27674318,yes,no,yes
2767431,27674319,no,yes,no
2767431,276743110,yes,yes,yes
2767431,276743111,no,no,no
2767431,276743112,no,yes,no
2767432,27674321,no,no,no
2767432,27674322,yes,no,yes
2767432,27674323,yes,no,yes
2767432,27674324,yes,no,yes
2767432,27674325,yes,no,yes
2767432,27674326,yes,no,yes
2767432,27674327,yes,,yes
2767433,27674331,no,no,yes
2767433,27674332,no,no,no
2767433,27674333,no,no,no
2767433,27674334,no,no,no
2767433,27674335,no,no,yes
2767434,27674341,yes,no,yes
2767434,27674342,yes,no,yes
2767443,27674431,no,no,no
2767443,27674432,no,no,yes
2767455,27674551,no,no,no
2767455,27674552,no,yes,yes
2767455,27674553,no,no,yes
2767455,27674554,no,no,no
2767462,27674621,no,no,yes
2767462,27674622,no,no,yes
2767462,27674623,no,no,yes
2767462,27674624,no,no,no
2767462,27674625,no,no,no
2767462,27674626,no,no,yes
2767462,27674627,no,no,no
2767462,27674628,no,no,no
2767462,27674629,no,no,no
2767462,276746210,no,yes,no
2767462,276746211,no,no,yes
2767465,27674651,yes,yes,yes
2767465,27674652,no,no,no
2767465,27674653,yes,no,yes
2767468,27674681,no,no,yes
2767468,27674682,yes,no,yes
2767468,27674683,no,no,no
2767474,27674741,yes,no,no
2767474,27674742,yes,yes,yes
2767476,27674761,no,yes,no
2767477,27674771,no,no,no
2767477,27674772,no,no,yes
2767477,27674773,no,no,no
2767477,27674774,no,no,no
2767477,27674775,no,no,no
2767477,27674776,,no,yes
2767477,27674777,no,no,yes
2767477,27674778,no,no,yes
2767477,27674779,no,yes,no
2767477,276747710,no,no,yes
2767481,27674811,no,no,no
2767481,27674812,no,no,no
2767481,27674813,no,no,no
2767481,27674814,no,yes,yes
2767481,27674815,,no,yes
2767482,27674821,no,no,no
2767482,27674822,no,,no
2767482,27674823,,yes,yes
2767482,27674824,no,no,yes
2767482,27674825,no,no,yes
2767482,27674826,no,no,yes
2767484,27674841,no,no,no
2767484,27674842,no,no,no
2767485,27674851,no,no,no
2767485,27674852,no,no,no
2767485,27674853,,yes,yes
2767485,27674854,,yes,yes
2767485,27674855,,yes,yes
2767490,27674901,,no,yes
2767490,27674902,,no,yes
2767490,27674903,,yes,yes
2767491,27674911,no,no,no
2767491,27674912,no,no,no
2767491,27674913,no,no,yes
2767492,27674921,,yes,yes
2767492,27674922,no,no,no
2767492,27674923,,yes,yes
2767495,27674951,,no,yes
2767495,27674952,,yes,yes
2767495,27674953,,yes,yes
2767499,27674991,no,no,no
2767499,27674992,no,no,no
2767499,27674993,no,no,yes
2767499,27674994,no,no,no
2767499,27674995,no,no,no
2767499,27674996,no,yes,yes
2767499,27674997,no,no,no
2767500,27675001,no,no,no
2767500,27675002,no,no,no
2767500,27675003,no,no,no
2767500,27675004,no,no,no
2767501,27675011,no,no,no
2767501,27675012,no,no,yes
2767501,27675013,no,no,no
2767501,27675014,no,no,no
2767501,27675015,no,no,yes
2767501,27675016,no,no,yes
2767501,27675017,no,no,yes
2767502,27675021,,yes,yes
2767502,27675022,,yes,yes
2767502,27675023,,no,yes
2767503,27675031,yes,no,yes
2767503,27675032,yes,no,yes
2767503,27675033,yes,no,yes
2767504,27675041,yes,yes,no
2767504,27675042,yes,no,yes
2767504,27675043,yes,no,yes
2767504,27675044,no,no,no
2767504,27675045,no,no,no
2767504,27675046,no,no,no
2767504,27675047,no,no,yes
2767504,27675048,no,no,yes
2767504,27675049,no,no,yes
2767504,276750410,yes,no,yes
2767504,276750411,yes,no,yes
2767505,27675051,no,no,yes
2767505,27675052,no,yes,yes
2767505,27675053,no,yes,no
2767505,27675054,no,no,no
2767512,27675121,yes,yes,yes
2767512,27675122,yes,yes,yes
2767512,27675123,no,yes,no
2767512,27675124,no,yes,no
2767512,27675125,yes,no,yes
2767512,27675126,yes,no,yes
2767512,27675127,no,no,yes
2767512,27675128,no,no,yes
2767512,27675129,no,no,yes
2767514,27675141,no,no,no
2767514,27675142,no,no,no
2767514,27675143,no,no,yes
2767514,27675144,no,no,no
2767514,27675145,yes,no,yes
2767514,27675146,no,no,yes
2767514,27675147,no,no,no
2767514,27675148,yes,no,yes
2767516,27675161,no,no,yes
2767516,27675162,no,no,no
2767516,27675163,no,no,yes
2767516,27675164,no,no,no
2767516,27675165,no,no,no
2767516,27675166,no,no,no
2767516,27675167,no,no,yes
2767516,27675168,no,no,yes
2767519,27675191,no,no,yes
2767519,27675192,no,no,no
2767519,27675193,yes,no,yes
2767522,27675221,no,no,no
2767522,27675222,no,no,no
2767522,27675223,no,no,no
2767523,27675231,yes,no,yes
2767523,27675232,yes,no,yes
2767523,27675233,yes,no,yes
2767523,27675234,yes,yes,yes
2767528,27675281,no,yes,no
2767528,27675282,no,no,no
2767528,27675283,yes,no,yes
2767528,27675284,yes,yes,yes
2767532,27675321,no,no,yes
2767532,27675322,,no,yes
2767535,27675351,,no,yes
2767535,27675352,,yes,yes
2767535,27675353,,no,yes
2767539,27675391,yes,no,yes
2767539,27675392,yes,no,yes
2767539,27675393,yes,no,yes
2767539,27675394,no,no,yes
2767544,27675441,no,yes,no
2767544,27675442,no,no,no
2767544,27675443,yes,no,yes
2767544,27675444,yes,no,yes
2767544,27675445,yes,yes,yes
2767544,27675446,yes,no,yes
2767544,27675447,yes,no,yes
2767548,27675481,no,yes,yes
2767548,27675482,no,yes,no
2767548,27675483,no,,no
2767548,27675484,no,no,no
2767558,27675581,no,no,no
2767558,27675582,no,no,yes
2767563,27675631,,no,yes
2767563,27675632,no,no,yes
2767564,27675641,no,no,no
2767564,27675642,no,no,yes
2767567,27675671,no,yes,yes
2767567,27675672,no,no,yes
2767567,27675673,yes,no,yes
2767567,27675674,yes,no,yes
2767567,27675675,no,no,yes
2767567,27675676,no,no,yes
2767567,27675677,no,no,no
2767571,27675711,yes,yes,yes
2767571,27675712,yes,no,yes
2767571,27675713,yes,yes,yes
2767571,27675714,no,yes,no
2767571,27675715,yes,no,yes
2767571,27675716,yes,yes,yes
2767574,27675741,yes,no,yes
2767574,27675742,no,no,no
2767574,27675743,no,no,no
2767574,27675744,no,no,yes
2767574,27675745,no,no,yes
2767576,27675761,no,no,no
2767576,27675762,no,no,yes
2767576,27675763,no,no,no
2767576,27675764,yes,no,yes
2767576,27675765,no,,no
2767576,27675766,no,,yes
2767580,27675801,no,no,no
2767580,27675802,yes,no,yes
2767580,27675803,yes,no,yes
2767580,27675804,no,no,no
2767584,27675841,no,no,yes
2767584,27675842,yes,no,yes
2767584,27675843,yes,no,yes
2767584,27675844,yes,,yes
2767588,27675881,no,yes,yes
2767588,27675882,no,no,no
2767592,27675921,no,no,yes
2767592,27675922,,no,yes
2767592,27675923,no,no,yes
2767592,27675924,,no,yes
2767592,27675925,,no,yes
2767592,27675926,no,yes,yes
2767592,27675927,,no,yes
2767593,27675931,no,no,no
2767595,27675951,no,no,no
2767595,27675952,no,no,no
2767616,27676161,no,no,no
2767616,27676162,no,yes,no
2767616,27676163,no,no,no
2767616,27676164,no,no,yes
2767616,27676165,no,no,yes
2767618,27676181,no,no,yes
2767618,27676182,no,no,no
2767618,27676183,no,no,no
2767618,27676184,no,no,no
2767618,27676185,no,yes,no
2767623,27676231,no,no,no
2767623,27676232,no,no,no
2767623,27676233,no,no,yes
2767624,27676241,yes,no,yes
2767624,27676242,yes,yes,yes
2767637,27676371,,no,yes
2767637,27676372,,no,yes
2767637,27676373,,yes,yes
2767639,27676391,no,yes,yes
2767639,27676392,no,no,yes
2767639,27676393,no,no,yes
2767640,27676401,no,no,no
2767640,27676402,no,no,yes
2767640,27676403,no,no,yes
2767640,27676404,no,no,yes
2767643,27676431,no,no,no
2767643,27676432,,no,yes
2767643,27676433,,no,yes
2767644,27676441,no,yes,yes
2767644,27676442,no,no,no
2767644,27676443,,yes,yes
2767644,27676444,no,no,yes
2767645,27676451,no,no,yes
2767645,27676452,no,no,no
2767646,27676461,,no,yes
2767646,27676462,,yes,yes
2767646,27676463,,yes,yes
2767646,27676464,,no,yes
2767647,27676471,,no,yes
2767647,27676472,,no,yes
2767647,27676473,,no,yes
2767647,27676474,,no,yes
2767648,27676481,,no,yes
2767648,27676482,,no,yes
2767648,27676483,,no,yes
2767648,27676484,,no,yes
2767651,27676511,yes,yes,yes
2767651,27676512,no,no,yes
2767651,27676513,no,no,yes
2767651,27676514,no,no,yes
2767651,27676515,yes,yes,yes
2767651,27676516,no,yes,yes
2767651,27676517,no,no,no
2767651,27676518,no,no,no
2767651,27676519,yes,yes,yes
2767651,276765110,no,no,no
2767651,276765111,no,no,no
2767651,276765112,no,yes,yes
2767654,27676541,no,yes,no
2767654,27676542,yes,yes,yes
2767654,27676543,yes,yes,yes
2767654,27676544,yes,no,yes
2767655,27676551,yes,no,yes
2767655,27676552,yes,yes,yes
2767655,27676553,yes,yes,yes
2767655,27676554,yes,yes,yes
2767658,27676581,no,yes,no
2767658,27676582,yes,no,yes
2767658,27676583,yes,no,yes
2767658,27676584,no,no,yes
2767659,27676591,yes,yes,yes
2767659,27676592,yes,no,yes
2767659,27676593,yes,no,yes
2767659,27676594,yes,yes,yes
2767661,27676611,yes,no,no
2767661,27676612,yes,no,no
2767664,27676641,no,no,no
2767664,27676642,no,no,no
2767664,27676643,,no,yes
2767664,27676644,,no,yes
2767667,27676671,no,no,no
2767667,27676672,no,yes,no
2767667,27676673,no,no,yes
2767667,27676674,no,no,no
2767667,27676675,yes,yes,yes
2767676,27676761,no,no,no
2767676,27676762,no,,no
2767676,27676763,no,,no
2767676,27676764,no,,no
2767677,27676771,no,no,no
2767677,27676772,no,no,yes
2767677,27676773,no,no,no
2767682,27676821,no,no,no
2767682,27676822,no,no,no
2767682,27676823,no,no,no
2767682,27676824,yes,yes,yes
2767684,27676841,yes,no,yes
2767684,27676842,yes,no,yes
2767684,27676843,yes,no,yes
2767684,27676844,yes,yes,yes
2767684,27676845,yes,no,yes
2767686,27676861,no,no,no
2767686,27676862,no,no,yes
2767686,27676863,yes,no,yes
2767689,27676891,yes,no,yes
2767689,27676892,yes,no,yes
2767689,27676893,yes,no,yes
2767689,27676894,yes,no,yes
2767689,27676895,no,no,no
2767690,27676901,no,no,yes
2767690,27676902,no,yes,no
2767690,27676903,no,no,no
2767690,27676904,no,no,no
2767690,27676905,no,no,no
2767690,27676906,no,no,no
2767690,27676907,no,no,no
2767690,27676908,no,no,no
2767692,27676921,no,no,yes
2767692,27676922,yes,no,yes
2767692,27676923,yes,no,yes
2767692,27676924,yes,no,yes
2767693,27676931,no,,yes
2767693,27676932,,,yes
2767693,27676933,,,yes
2767693,27676934,no,,yes
2767693,27676935,no,,yes
2767693,27676936,,no,yes
2767695,27676951,no,no,yes
2767695,27676952,no,no,no
2767695,27676953,no,no,no
2767695,27676954,no,no,yes
2767695,27676955,no,no,yes
2767698,27676981,no,no,no
2767698,27676982,no,no,yes
2767704,27677041,,no,yes
2767704,27677042,,no,yes
2767747,27677471,yes,yes,yes
2767747,27677472,yes,no,yes
2767747,27677473,no,yes,no
2767747,27677474,no,no,yes
2767747,27677475,no,no,yes
2767748,27677481,no,no,no
2767748,27677482,no,no,yes
2767750,27677501,no,yes,no
2767750,27677502,yes,no,yes
2767750,27677503,yes,no,yes
2767750,27677504,no,no,yes
2767750,27677505,no,no,yes
2767750,27677506,no,no,yes
2767754,27677541,no,no,yes
2767754,27677542,,yes,yes
2767754,27677543,,no,yes
2767754,27677544,no,no,yes
2767754,27677545,no,no,yes
2767754,27677546,no,no,yes
2767755,27677551,,no,yes
2767755,27677552,,no,yes
2767756,27677561,no,no,no
2767756,27677562,,no,yes
2767756,27677563,,no,yes
2767756,27677564,no,no,yes
2767756,27677565,no,no,yes
2767757,27677571,no,no,no
2767757,27677572,,no,yes
2767757,27677573,,no,yes
2767757,27677574,,no,yes
2767757,27677575,no,no,no
2767759,27677591,,no,no
2767759,27677592,,no,yes
2767759,27677593,,no,yes
2767760,27677601,,no,no
2767760,27677602,,no,yes
2767760,27677603,,no,yes
2767762,27677621,yes,no,yes
2767762,27677622,yes,no,yes
2767762,27677623,yes,no,yes
2767762,27677624,yes,yes,yes
2767762,27677625,yes,yes,yes
2767762,27677626,yes,no,yes
2767762,27677627,yes,no,yes
2767762,27677628,no,no,yes
2767762,27677629,yes,no,yes
2767762,276776210,yes,no,yes
2767762,276776211,yes,no,yes
2767763,27677631,yes,no,yes
